Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"BMI,Height"	Fibroblasts	-0.001607835	0.004237608	0.35218787	0.9154735	-0.028011054	0.073825915	-0.0574
"BMI,Height"	Sigmoid Intestine	-0.000353657	0.004524562	0.46884886	0.9569647	-0.006161274	0.078825127	-0.0574
"BMI,Height"	Transverse Intestine	-0.005462999	0.004521703	0.11349036	0.8852248	-0.095174203	0.078775309	-0.0574
"BMI,Height"	Esophagus Mucosa	0.000802189	0.00355012	0.41061584	0.9569647	0.013975416	0.061848774	-0.0574
"BMI,Height"	Esophagus Muscularis	0.003731639	0.004926243	0.22437458	0.9154735	0.065011127	0.085823044	-0.0574
"BMI,Height"	Heart A. Appen.	-0.000345533	0.004092384	0.46635606	0.9569647	-0.00601973	0.071295881	-0.0574
"BMI,Height"	Heart Left Vent.	0.00183535	0.003863938	0.31739539	0.9154735	0.031974737	0.067315993	-0.0574
"BMI,Height"	Liver	0.000204618	0.003158539	0.47417361	0.9569647	0.003564771	0.055026808	-0.0574
"BMI,Height"	Lung	0.001888055	0.003183807	0.27658457	0.9154735	0.03289294	0.055467023	-0.0574
"BMI,Height"	Min. Salivary Gland	-0.001690076	0.002434825	0.24380146	0.9154735	-0.029443838	0.042418551	-0.0574
"BMI,Height"	Muscle Skeletal	0.002006892	0.003957636	0.30604456	0.9154735	0.034963276	0.068948362	-0.0574
"BMI,Height"	Tibial Nerve	0.005491196	0.004027076	0.08635163	0.8852248	0.095665438	0.070158122	-0.0574
"BMI,Height"	Ovary	-0.004014153	0.005242424	0.22192577	0.9154735	-0.06993298	0.091331431	-0.0574
"BMI,Height"	Pancreas	-0.001555104	0.004567141	0.36674063	0.9154735	-0.027092406	0.079566921	-0.0574
"BMI,Height"	Pituitary	0.000322743	0.0035229	0.4635028	0.9569647	0.005622702	0.06137457	-0.0574
"BMI,Height"	Prostate	-0.000220891	0.004093388	0.47848236	0.9569647	-0.003848277	0.071313372	-0.0574
"BMI,Height"	Skin (sun unexposed)	0.00520794	0.005789522	0.18418101	0.9154735	0.090730666	0.100862755	-0.0574
"BMI,Height"	Skin (sun exposed)	-0.002744035	0.006684614	0.34071955	0.9154735	-0.047805489	0.116456696	-0.0574
"BMI,Height"	Spleen	0.001410273	0.003342477	0.33654	0.9154735	0.024569223	0.058231302	-0.0574
"BMI,Height"	Stomach	0.003329319	0.003628978	0.17945969	0.9154735	0.058002074	0.063222608	-0.0574
"BMI,Height"	Testis	0.005070676	0.004003978	0.10268324	0.8852248	0.088339302	0.069755711	-0.0574
"BMI,Height"	Thyroid	0.002113619	0.004668022	0.32535109	0.9154735	0.036822634	0.081324417	-0.0574
"BMI,Height"	Uterus	-0.023891388	0.017403854	0.08491282	0.8852248	-0.416226275	0.303203027	-0.0574
"BMI,Height"	Vagina	0.002699981	0.007394319	0.35750244	0.9154735	0.047038004	0.128820881	-0.0574
"BMI,Height"	Whole Blood	-0.006731513	0.003788335	0.03779188	0.8852248	-0.117273752	0.065998861	-0.0574
"BMI,Height"	AllTissues	-0.000503431	0.008757703	0.47707969	1	-0.008770571	0.152573218	-0.0574
"BMI,Menarche Age"	Adipose Sub.	-0.000122612	0.003431576	0.485748622	0.9948231	-0.001586183	0.044392958	-0.0773
"BMI,Menarche Age"	Adipose Visc.	-0.001995448	0.003140325	0.262574868	0.7890178	-0.025814335	0.040625156	-0.0773
"BMI,Menarche Age"	Adrenal Gland	0.001413604	0.00224074	0.264064502	0.7890178	0.018287241	0.028987581	-0.0773
"BMI,Menarche Age"	Aorta Artery	0.000224084	0.006291004	0.485792802	0.9948231	0.002898883	0.081384269	-0.0773
"BMI,Menarche Age"	Coronary Artery	-0.000742948	0.002819327	0.396075001	0.9654328	-0.009611234	0.036472536	-0.0773
"BMI,Menarche Age"	Tibial Artery	0.001774277	0.003126355	0.28517954	0.7890178	0.022953137	0.040444436	-0.0773
"BMI,Menarche Age"	Brain Limbic	-0.003286219	0.004527532	0.233971484	0.7890178	-0.042512531	0.058570917	-0.0773
"BMI,Menarche Age"	Brain Cortex	-0.00092063	0.002231178	0.339942367	0.8838502	-0.011909825	0.028863877	-0.0773
