Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
WBC Count	Transverse Intestine	0.005208582	0.005708459	0.180770589	0.705005297	0.022915013	0.025114205
WBC Count	Esophagus Mucosa	0.000302517	0.004402294	0.472607076	0.982101041	0.001330913	0.019367772
WBC Count	Esophagus Muscularis	-0.001766094	0.004682075	0.646988764	0.982101041	-0.007769883	0.020598657
WBC Count	Heart A. Appen.	-0.006091737	0.004941318	0.891177815	0.988796267	-0.026800426	0.021739191
WBC Count	Heart Left Vent.	0.010355164	0.004766468	0.014908887	0.29072329	0.045557253	0.020969942
WBC Count	Liver	-0.001786694	0.00253277	0.759728883	0.985528157	-0.007860508	0.011142849
WBC Count	Lung	-0.008814118	0.005070594	0.958919363	0.988796267	-0.038777466	0.022307936
WBC Count	Min. Salivary Gland	-0.005165532	0.002262222	0.988796267	0.988796267	-0.022725614	0.009952581
WBC Count	Muscle Skeletal	0.001219876	0.003840668	0.375386355	0.976004523	0.005366809	0.016896914
WBC Count	Tibial Nerve	0.013178897	0.012061493	0.137275458	0.669217856	0.057980188	0.053064202
WBC Count	Ovary	-0.003316571	0.003080496	0.859178393	0.985528157	-0.014591161	0.013552557
WBC Count	Pancreas	1.45E-02	0.010765497	0.089650355	0.582727306	0.063603639	0.047362503
WBC Count	Pituitary	0.003714551	0.003834331	0.166332137	0.705005297	0.016342064	0.01686903
